userid,avg_score,std_score,total_items,distinct_foods,cluster
-2122747965,19.642857142857142,24.380342468905127,16,12,1
-2122559375,9.894736842105264,13.64589778342889,19,17,0
-2122409052,46.92307692307692,32.141514013451875,21,9,1
-2122381548,23.4,32.94389169481955,7,5,1
-2121780945,1.0,0.0,5,2,2
-2121726128,26.25,33.62121894929397,22,12,1
-2121571005,15.4,32.19937887599697,9,2,1
-2121530866,65.2,16.037456157383566,7,4,3
-2121481981,5.571428571428571,7.807200583588266,7,3,2
-2121450686,26.1,25.752885490971902,30,10,1
-2121042527,35.27272727272727,25.671349435083886,25,10,1
-2120651403,1.0,0.0,14,3,2
-2120624791,27.636363636363637,24.105073023215372,21,10,1
-2120333558,18.53846153846154,27.48216204684833,13,12,1
-2120168096,20.615384615384617,28.724375425581382,15,10,1
-2119733262,37.57142857142857,29.585227974205544,11,7,1
-2119400399,2.3333333333333335,2.6457513110645907,9,9,2
-2119361511,22.5,26.061739882714768,34,22,0
-2118789286,23.789473684210527,31.51116018769015,35,16,0
-2118744645,5.571428571428571,6.187545093630776,7,5,2
-2118685547,74.0,0.0,1,1,3
-2118454288,7.333333333333333,10.96965511460289,3,3,2
-2118076340,28.4,15.043270920913445,7,5,1
-2117987761,29.73913043478261,27.087048797541353,138,19,0
-2117910111,1.0,0.0,1,1,2
-2117411812,23.42105263157895,27.998642406520126,33,13,0
-2117155402,43.220338983050844,31.801684945932514,152,46,0
-2116969163,41.333333333333336,7.505553499465134,3,2,3
-2116624696,24.0,0.0,1,1,2
-2116348662,33.42424242424242,28.109195896350254,43,14,0
-2116342778,27.263157894736842,28.28985311863044,27,14,0
-2116319719,17.125,30.507317623341265,12,8,1
-2115235879,23.0,0.0,1,1,2
-2115194362,26.75,30.825545992152122,8,7,1
-2115107750,1.0,0.0,4,1,2
-2114666516,74.0,0.0,3,1,3
-2114516588,51.035714285714285,25.099036639115056,42,22,0
-2114428541,21.0,20.518284528683193,3,3,1
-2114286231,14.875,21.931305087867955,10,7,1
-2113911643,11.25,23.623389175328597,66,21,0
-2113793281,15.73076923076923,16.865485921983254,52,19,0
-2112909126,63.0,19.05255888325765,5,3,3
-2112727334,31.47826086956522,34.84363717213516,29,12,1
-2112572964,29.571428571428573,33.034613881286916,7,7,1
-2111591980,1.0,0.0,1,1,2
-2111403327,19.0,27.16615541441225,16,7,1
-2110487406,1.0,0.0,1,1,2
-2110376515,38.714285714285715,30.966187396978043,9,5,1
-2109893981,3.4285714285714284,6.425396041156863,9,5,2
-2109830810,14.0,22.516660498395403,3,3,1
-2109498800,8.642857142857142,13.613382233088727,16,12,2
